Date,Open,High,Low,Close,Adj Close,Volume
2015-05-18,0.005529,0.005536,0.005075,0.005077,0.005077,1047548
2015-05-19,0.005076,0.005870,0.005039,0.005870,0.005870,855025
2015-05-20,0.005867,0.006120,0.005865,0.005978,0.005978,419218
2015-05-21,0.005978,0.005987,0.005882,0.005918,0.005918,163880
2015-05-22,0.005918,0.006040,0.005877,0.006037,0.006037,285448
2015-05-23,0.006027,0.006194,0.006026,0.006173,0.006173,270685
2015-05-24,0.006172,0.006225,0.006139,0.006195,0.006195,135579
2015-05-25,0.006226,0.006334,0.006190,0.006314,0.006314,288037
2015-05-26,0.006317,0.006371,0.006214,0.006241,0.006241,462576
2015-05-27,0.006240,0.006440,0.006216,0.006366,0.006366,492350
2015-05-28,0.006370,0.007169,0.006344,0.007169,0.007169,1134114
2015-05-29,0.007150,0.008367,0.007134,0.008243,0.008243,1774597
2015-05-30,0.008246,0.008277,0.007586,0.007654,0.007654,443458
2015-05-31,0.007648,0.007695,0.007442,0.007567,0.007567,226636
2015-06-01,0.007554,0.007581,0.006923,0.006939,0.006939,711990
2015-06-02,0.006943,0.007163,0.006785,0.007159,0.007159,454206
2015-06-03,0.007183,0.007267,0.007141,0.007116,0.007116,345039
2015-06-04,0.007114,0.007113,0.007031,0.007031,0.007031,215574
2015-06-05,0.007036,0.007175,0.007018,0.007161,0.007161,178946
2015-06-06,0.007160,0.007165,0.007105,0.007115,0.007115,97875
2015-06-07,0.007115,0.007159,0.007066,0.007092,0.007092,90969
2015-06-08,0.007086,0.007094,0.007083,0.007093,0.007093,201342
2015-06-09,0.007101,0.007109,0.007066,0.007080,0.007080,187591
2015-06-10,0.007071,0.007113,0.007066,0.007073,0.007073,230410
2015-06-11,0.007073,0.007152,0.007075,0.007152,0.007152,174658
2015-06-12,0.007151,0.007183,0.007141,0.007151,0.007151,123125
2015-06-13,0.007094,0.007221,0.007094,0.007182,0.007182,71570
2015-06-14,0.007182,0.007312,0.007170,0.007259,0.007259,281461
2015-06-15,0.007258,0.007612,0.007258,0.007610,0.007610,583849
2015-06-16,0.007612,0.008415,0.007613,0.008385,0.008385,1355574
2015-06-17,0.008388,0.008687,0.008362,0.008519,0.008519,924689
2015-06-18,0.008528,0.009028,0.008487,0.009016,0.009016,982411
2015-06-19,0.009040,0.009987,0.009039,0.009870,0.009870,1453174
2015-06-20,0.009941,0.009941,0.009559,0.009722,0.009722,582042
2015-06-21,0.009714,0.009747,0.008992,0.009078,0.009078,497268
2015-06-22,0.009061,0.009314,0.009027,0.009316,0.009316,549247
2015-06-23,0.009317,0.009597,0.009297,0.009546,0.009546,436098
2015-06-24,0.009546,0.009893,0.009514,0.009740,0.009740,590821
2015-06-25,0.009737,0.009867,0.009754,0.009862,0.009862,293514
2015-06-26,0.009863,0.010116,0.009861,0.010110,0.010110,308500
2015-06-27,0.010112,0.010374,0.010110,0.010251,0.010251,310972
2015-06-28,0.010250,0.010279,0.010092,0.010449,0.010449,233125
2015-06-29,0.010468,0.010686,0.010426,0.010679,0.010679,749472
2015-06-30,0.010674,0.010746,0.010168,0.010168,0.010168,923587
2015-07-01,0.010166,0.010240,0.009948,0.010148,0.010148,505888
2015-07-02,0.010145,0.010157,0.009891,0.009957,0.009957,364594
2015-07-03,0.009958,0.009994,0.009921,0.009988,0.009988,226016
2015-07-04,0.009989,0.009994,0.009696,0.009703,0.009703,124486
